!!USGS Station ID 03609750: Tennessee River at Highway 60 near Paducah, KY
197310										
YYYYMM  Flow_cms  Sed_ton  TP_ton   TN_ton  NO2+3_ton NO3_ton  Sed_sd  TP_sd   TN_sd   NO2+3_sd   NO3_sd 
199908         821     7310     112     948        188   -9999     673      12      54         22   -9999
199909         545     5440    74.1     579        111   -9999     548       9      36         16   -9999
199910         624     7810    99.1     720        205   -9999     798      11      46         27   -9999
199911         692     8930     115     868        344   -9999     915      13      59         45   -9999
199912         733     9160     128    1138        582   -9999     943      14      85         75   -9999
200001         761     7800     127    1425        842   -9999     808      14     117        110   -9999
200002         837     6390     125    1605        978   -9999     668      14     140        132   -9999
200003        1080     7430     167    2201       1280   -9999     715      18     171        159   -9999
200004        2250    15400     466    4330       2400   -9999    1650      55     322        293   -9999
200005         881     4790     117    1347        479   -9999     448      11      78         56   -9999
200006         647     3370    74.1     834        183   -9999     310       7      47         21   -9999
200007         656     4210    81.5     830        144   -9999     390       8      47         17   -9999
200008         969     8410     144    1214        243   -9999     840      15      76         29   -9999
200009         601     5820    86.4     691        132   -9999     610      10      45         18   -9999
200010         678     8080     112     837        229   -9999     868      12      54         30   -9999
200011         797     9970     140    1095        444   -9999    1083      16      75         57   -9999
200012         989    12600     210    1814       1010   -9999    1458      26     153        140   -9999
200101        1250    13600     287    2860       1840   -9999    1650      38     265        253   -9999
200102        3010    27400     824    6900       4630   -9999    3650     124     705        675   -9999
200103        1520    11000     278    3480       2100   -9999    1223      35     272        253   -9999
200104         764     3830    96.4    1298        552   -9999     425      12      89         69   -9999
200105         537     2490    61.6     812        228   -9999     275       8      53         29   -9999
200106         922     4810     113    1325        330   -9999     508      14      82         37   -9999
200107         850     5360     109    1179        221   -9999     575      14      76         25   -9999
200108        1270    11000     198    1725        355   -9999    1370      30     126         45   -9999
200109        1110    11200     174    1427        327   -9999    1405      27     104         42   -9999
200110        1230    18200     259    1713        553   -9999    2300      37     135         91   -9999
200111        1050    15300     269    1599        694   -9999    2075      49     153        130   -9999
200112        3120    52600    1250    6560       3720   -9999    7450     210     699        643   -9999
200201        3040    40100    1740    7810       4720   -9999    7475     398    1274       1213   -9999
200202        2160    22300     666    5150       3410   -9999    3050     116     545        523   -9999
200203        2870    25200    1110    7050       4020   -9999    3925     204     816        755   -9999
200204        1750    12900     461    3670       1910   -9999    1865      75     357        323   -9999
200205        1650    11400     309    2900       1110   -9999    1555      41     207        150   -9999
200206         722     4360    99.9    1052        239   -9999     633      12      70         34   -9999
